2026-04-26 22:27:58,491 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.01-e100-i512-o512.pth
2026-04-26 22:27:58,492 | INFO | Testing ['l2-k_mnist-b64-lr0.01-e100-i512-o512.pth'] on mnist dataset
2026-04-26 22:29:01,500 | DEBUG | Correct:982
2026-04-26 22:29:01,500 | DEBUG | Total:1000
2026-04-26 22:29:01,500 | INFO | Test accuracy: 98.20%
2026-04-26 22:29:03,739 | DEBUG | Correct:1952
2026-04-26 22:29:03,739 | DEBUG | Total:2000
2026-04-26 22:29:03,739 | INFO | Test accuracy: 97.60%
2026-04-26 22:29:05,966 | DEBUG | Correct:2922
2026-04-26 22:29:05,966 | DEBUG | Total:3000
2026-04-26 22:29:05,966 | INFO | Test accuracy: 97.40%
2026-04-26 22:29:08,745 | DEBUG | Correct:3894
2026-04-26 22:29:08,745 | DEBUG | Total:4000
2026-04-26 22:29:08,745 | INFO | Test accuracy: 97.35%
2026-04-26 22:29:10,923 | DEBUG | Correct:4870
2026-04-26 22:29:10,923 | DEBUG | Total:5000
2026-04-26 22:29:10,923 | INFO | Test accuracy: 97.40%
2026-04-26 22:29:13,113 | DEBUG | Correct:5855
2026-04-26 22:29:13,113 | DEBUG | Total:6000
2026-04-26 22:29:13,113 | INFO | Test accuracy: 97.58%
2026-04-26 22:29:15,326 | DEBUG | Correct:6840
2026-04-26 22:29:15,326 | DEBUG | Total:7000
2026-04-26 22:29:15,326 | INFO | Test accuracy: 97.71%
2026-04-26 22:29:17,497 | DEBUG | Correct:7836
2026-04-26 22:29:17,497 | DEBUG | Total:8000
2026-04-26 22:29:17,497 | INFO | Test accuracy: 97.95%
2026-04-26 22:29:19,685 | DEBUG | Correct:8828
2026-04-26 22:29:19,685 | DEBUG | Total:9000
2026-04-26 22:29:19,685 | INFO | Test accuracy: 98.09%
2026-04-26 22:29:21,874 | DEBUG | Correct:9808
2026-04-26 22:29:21,874 | DEBUG | Total:10000
2026-04-26 22:29:21,874 | INFO | Test accuracy: 98.08%
2026-04-26 22:34:09,200 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.01-e100-i512-o512.pth
2026-04-26 22:34:09,200 | INFO | Testing ['l2-k_mnist-b64-lr0.01-e100-i512-o512.pth'] on mnist dataset
2026-04-26 22:34:11,621 | DEBUG | Correct:982
2026-04-26 22:34:11,621 | DEBUG | Total:1000
2026-04-26 22:34:11,621 | INFO | Test accuracy: 98.20%
2026-04-26 22:34:13,873 | DEBUG | Correct:1952
2026-04-26 22:34:13,873 | DEBUG | Total:2000
2026-04-26 22:34:13,873 | INFO | Test accuracy: 97.60%
2026-04-26 22:34:16,085 | DEBUG | Correct:2922
2026-04-26 22:34:16,085 | DEBUG | Total:3000
2026-04-26 22:34:16,085 | INFO | Test accuracy: 97.40%
2026-04-26 22:34:18,282 | DEBUG | Correct:3894
2026-04-26 22:34:18,282 | DEBUG | Total:4000
2026-04-26 22:34:18,282 | INFO | Test accuracy: 97.35%
2026-04-26 22:34:20,447 | DEBUG | Correct:4870
2026-04-26 22:34:20,447 | DEBUG | Total:5000
2026-04-26 22:34:20,447 | INFO | Test accuracy: 97.40%
2026-04-26 22:34:22,647 | DEBUG | Correct:5855
2026-04-26 22:34:22,648 | DEBUG | Total:6000
2026-04-26 22:34:22,648 | INFO | Test accuracy: 97.58%
2026-04-26 22:34:25,002 | DEBUG | Correct:6840
2026-04-26 22:34:25,003 | DEBUG | Total:7000
2026-04-26 22:34:25,003 | INFO | Test accuracy: 97.71%
2026-04-26 22:34:27,249 | DEBUG | Correct:7836
2026-04-26 22:34:27,249 | DEBUG | Total:8000
2026-04-26 22:34:27,249 | INFO | Test accuracy: 97.95%
2026-04-26 22:34:29,449 | DEBUG | Correct:8828
2026-04-26 22:34:29,450 | DEBUG | Total:9000
2026-04-26 22:34:29,450 | INFO | Test accuracy: 98.09%
2026-04-26 22:34:31,618 | DEBUG | Correct:9808
2026-04-26 22:34:31,618 | DEBUG | Total:10000
2026-04-26 22:34:31,618 | INFO | Test accuracy: 98.08%
2026-04-26 22:34:41,519 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.001-e100-i512-o512.pth
2026-04-26 22:34:41,520 | INFO | Testing ['l2-k_mnist-b64-lr0.001-e100-i512-o512.pth'] on mnist dataset
2026-04-26 22:34:43,950 | DEBUG | Correct:983
2026-04-26 22:34:43,950 | DEBUG | Total:1000
2026-04-26 22:34:43,950 | INFO | Test accuracy: 98.30%
2026-04-26 22:34:46,133 | DEBUG | Correct:1952
2026-04-26 22:34:46,133 | DEBUG | Total:2000
2026-04-26 22:34:46,133 | INFO | Test accuracy: 97.60%
2026-04-26 22:34:48,288 | DEBUG | Correct:2925
2026-04-26 22:34:48,288 | DEBUG | Total:3000
2026-04-26 22:34:48,288 | INFO | Test accuracy: 97.50%
2026-04-26 22:34:50,449 | DEBUG | Correct:3893
2026-04-26 22:34:50,450 | DEBUG | Total:4000
2026-04-26 22:34:50,450 | INFO | Test accuracy: 97.33%
2026-04-26 22:34:52,611 | DEBUG | Correct:4871
2026-04-26 22:34:52,611 | DEBUG | Total:5000
2026-04-26 22:34:52,611 | INFO | Test accuracy: 97.42%
2026-04-26 22:34:54,755 | DEBUG | Correct:5855
2026-04-26 22:34:54,756 | DEBUG | Total:6000
2026-04-26 22:34:54,756 | INFO | Test accuracy: 97.58%
2026-04-26 22:34:56,893 | DEBUG | Correct:6840
2026-04-26 22:34:56,893 | DEBUG | Total:7000
2026-04-26 22:34:56,893 | INFO | Test accuracy: 97.71%
2026-04-26 22:34:59,128 | DEBUG | Correct:7836
2026-04-26 22:34:59,129 | DEBUG | Total:8000
2026-04-26 22:34:59,129 | INFO | Test accuracy: 97.95%
2026-04-26 22:35:01,318 | DEBUG | Correct:8826
2026-04-26 22:35:01,318 | DEBUG | Total:9000
2026-04-26 22:35:01,318 | INFO | Test accuracy: 98.07%
2026-04-26 22:35:03,456 | DEBUG | Correct:9808
2026-04-26 22:35:03,457 | DEBUG | Total:10000
2026-04-26 22:35:03,457 | INFO | Test accuracy: 98.08%
2026-04-26 22:35:18,774 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.01-e80-i512-o512.pth
2026-04-26 22:35:18,774 | INFO | Testing ['l2-k_mnist-b64-lr0.01-e80-i512-o512.pth'] on mnist dataset
2026-04-26 22:35:21,204 | DEBUG | Correct:984
2026-04-26 22:35:21,204 | DEBUG | Total:1000
2026-04-26 22:35:21,204 | INFO | Test accuracy: 98.40%
2026-04-26 22:35:23,460 | DEBUG | Correct:1953
2026-04-26 22:35:23,460 | DEBUG | Total:2000
2026-04-26 22:35:23,460 | INFO | Test accuracy: 97.65%
2026-04-26 22:35:25,605 | DEBUG | Correct:2929
2026-04-26 22:35:25,605 | DEBUG | Total:3000
2026-04-26 22:35:25,605 | INFO | Test accuracy: 97.63%
2026-04-26 22:35:27,745 | DEBUG | Correct:3903
2026-04-26 22:35:27,745 | DEBUG | Total:4000
2026-04-26 22:35:27,745 | INFO | Test accuracy: 97.58%
2026-04-26 22:35:29,886 | DEBUG | Correct:4878
2026-04-26 22:35:29,886 | DEBUG | Total:5000
2026-04-26 22:35:29,887 | INFO | Test accuracy: 97.56%
2026-04-26 22:35:32,028 | DEBUG | Correct:5865
2026-04-26 22:35:32,028 | DEBUG | Total:6000
2026-04-26 22:35:32,028 | INFO | Test accuracy: 97.75%
2026-04-26 22:35:34,185 | DEBUG | Correct:6849
2026-04-26 22:35:34,185 | DEBUG | Total:7000
2026-04-26 22:35:34,185 | INFO | Test accuracy: 97.84%
2026-04-26 22:35:36,324 | DEBUG | Correct:7843
2026-04-26 22:35:36,325 | DEBUG | Total:8000
2026-04-26 22:35:36,325 | INFO | Test accuracy: 98.04%
2026-04-26 22:35:38,477 | DEBUG | Correct:8834
2026-04-26 22:35:38,477 | DEBUG | Total:9000
2026-04-26 22:35:38,477 | INFO | Test accuracy: 98.16%
2026-04-26 22:35:40,607 | DEBUG | Correct:9814
2026-04-26 22:35:40,607 | DEBUG | Total:10000
2026-04-26 22:35:40,607 | INFO | Test accuracy: 98.14%
2026-04-26 22:35:56,418 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.01-e60-i512-o512.pth
2026-04-26 22:35:56,418 | INFO | Testing ['l2-k_mnist-b64-lr0.01-e60-i512-o512.pth'] on mnist dataset
2026-04-26 22:35:58,897 | DEBUG | Correct:982
2026-04-26 22:35:58,898 | DEBUG | Total:1000
2026-04-26 22:35:58,898 | INFO | Test accuracy: 98.20%
2026-04-26 22:36:01,096 | DEBUG | Correct:1952
2026-04-26 22:36:01,096 | DEBUG | Total:2000
2026-04-26 22:36:01,096 | INFO | Test accuracy: 97.60%
2026-04-26 22:36:03,264 | DEBUG | Correct:2923
2026-04-26 22:36:03,265 | DEBUG | Total:3000
2026-04-26 22:36:03,265 | INFO | Test accuracy: 97.43%
2026-04-26 22:36:05,421 | DEBUG | Correct:3896
2026-04-26 22:36:05,421 | DEBUG | Total:4000
2026-04-26 22:36:05,421 | INFO | Test accuracy: 97.40%
2026-04-26 22:36:07,598 | DEBUG | Correct:4870
2026-04-26 22:36:07,598 | DEBUG | Total:5000
2026-04-26 22:36:07,598 | INFO | Test accuracy: 97.40%
2026-04-26 22:36:09,792 | DEBUG | Correct:5861
2026-04-26 22:36:09,792 | DEBUG | Total:6000
2026-04-26 22:36:09,792 | INFO | Test accuracy: 97.68%
2026-04-26 22:36:11,941 | DEBUG | Correct:6844
2026-04-26 22:36:11,942 | DEBUG | Total:7000
2026-04-26 22:36:11,942 | INFO | Test accuracy: 97.77%
2026-04-26 22:36:14,078 | DEBUG | Correct:7840
2026-04-26 22:36:14,078 | DEBUG | Total:8000
2026-04-26 22:36:14,079 | INFO | Test accuracy: 98.00%
2026-04-26 22:36:16,233 | DEBUG | Correct:8834
2026-04-26 22:36:16,233 | DEBUG | Total:9000
2026-04-26 22:36:16,233 | INFO | Test accuracy: 98.16%
2026-04-26 22:36:18,372 | DEBUG | Correct:9817
2026-04-26 22:36:18,372 | DEBUG | Total:10000
2026-04-26 22:36:18,372 | INFO | Test accuracy: 98.17%
2026-04-26 22:36:30,210 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.01-e40-i512-o512.pth
2026-04-26 22:36:30,210 | INFO | Testing ['l2-k_mnist-b64-lr0.01-e40-i512-o512.pth'] on mnist dataset
2026-04-26 22:36:32,552 | DEBUG | Correct:985
2026-04-26 22:36:32,552 | DEBUG | Total:1000
2026-04-26 22:36:32,552 | INFO | Test accuracy: 98.50%
2026-04-26 22:36:34,725 | DEBUG | Correct:1954
2026-04-26 22:36:34,725 | DEBUG | Total:2000
2026-04-26 22:36:34,725 | INFO | Test accuracy: 97.70%
2026-04-26 22:36:36,883 | DEBUG | Correct:2928
2026-04-26 22:36:36,884 | DEBUG | Total:3000
2026-04-26 22:36:36,884 | INFO | Test accuracy: 97.60%
2026-04-26 22:36:39,027 | DEBUG | Correct:3901
2026-04-26 22:36:39,027 | DEBUG | Total:4000
2026-04-26 22:36:39,027 | INFO | Test accuracy: 97.53%
2026-04-26 22:36:41,167 | DEBUG | Correct:4875
2026-04-26 22:36:41,167 | DEBUG | Total:5000
2026-04-26 22:36:41,168 | INFO | Test accuracy: 97.50%
2026-04-26 22:36:43,318 | DEBUG | Correct:5864
2026-04-26 22:36:43,318 | DEBUG | Total:6000
2026-04-26 22:36:43,318 | INFO | Test accuracy: 97.73%
2026-04-26 22:36:47,525 | DEBUG | Correct:6847
2026-04-26 22:36:47,525 | DEBUG | Total:7000
2026-04-26 22:36:47,525 | INFO | Test accuracy: 97.81%
2026-04-26 22:36:49,697 | DEBUG | Correct:7844
2026-04-26 22:36:49,697 | DEBUG | Total:8000
2026-04-26 22:36:49,697 | INFO | Test accuracy: 98.05%
2026-04-26 22:36:51,836 | DEBUG | Correct:8835
2026-04-26 22:36:51,836 | DEBUG | Total:9000
2026-04-26 22:36:51,836 | INFO | Test accuracy: 98.17%
2026-04-26 22:36:53,981 | DEBUG | Correct:9821
2026-04-26 22:36:53,981 | DEBUG | Total:10000
2026-04-26 22:36:53,981 | INFO | Test accuracy: 98.21%
2026-04-26 22:37:18,500 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.01-e20-i512-o512.pth
2026-04-26 22:37:18,501 | INFO | Testing ['l2-k_mnist-b64-lr0.01-e20-i512-o512.pth'] on mnist dataset
2026-04-26 22:37:20,901 | DEBUG | Correct:984
2026-04-26 22:37:20,902 | DEBUG | Total:1000
2026-04-26 22:37:20,902 | INFO | Test accuracy: 98.40%
2026-04-26 22:37:23,061 | DEBUG | Correct:1958
2026-04-26 22:37:23,061 | DEBUG | Total:2000
2026-04-26 22:37:23,061 | INFO | Test accuracy: 97.90%
2026-04-26 22:37:25,266 | DEBUG | Correct:2927
2026-04-26 22:37:25,266 | DEBUG | Total:3000
2026-04-26 22:37:25,266 | INFO | Test accuracy: 97.57%
2026-04-26 22:37:27,458 | DEBUG | Correct:3897
