pattern,target,h1,h2,y,predicted
"0,0,0",False,0.0,0.0,0.0,False
"0,0,1",True,0.03591841043750765,0.0,-0.03797214451243432,False
"0,1,0",True,-0.05901446621756866,0.0038788729098723773,-0.041224239378330994,False
"1,0,0",True,-0.06901328870574557,-0.2197921512972851,0.0,False
"1,1,0",False,-0.09074722136887953,-0.17058388408162337,0.0,False
"1,0,1",False,-0.02998591456224442,-0.22236908005208791,0.0,False
"0,1,1",False,-0.00573928779028024,0.003339577965775359,-0.04101793433243725,False
"1,1,1",True,-0.05471730184622176,-0.16960835019494855,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,17.57898928228855,16.29364862112718,16.27745429287788
M2,80.79206752249598,80.75113574770847,81.17274773443104
M3,17.24917873241787,12.14700561633082,6.998566883677515
M4,7.698427353953945,6.905920295327844,7.997293754228295
M5,4.853402334912217,4.154685978925606,4.501038629327801
M6,4.137589999862801,3.83350186188213,3.9658639675718765
M7,8.776462914628247,9.00618351508116,7.231679159602139
M8,4.2655513368092315,4.067595414615934,16.698733243422712
M9,7.109787390957279,5.9865374421736,23.054448655079877
M10,7.926646615232028,7.270712610246067,7.036290861950204
M11,411.2432488687809,406.6624270294383,405.4493795755977
M12,11.171400733836155,11.12707947246541,11.033652166474834
M13,12.867432703809117,6.162756573049198,8.467807222311958
M14,15.760611111648869,6.748201543155038,21.207628449895218
M15,6.121193522577041,5.882969000686808,9.516550802847544
M16,15.849612919511017,16.34425791907434,14.370992300063483
