pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.39472932789950244,-0.21810709826097133,0.5608208994072077,True
"0,1",True,-0.6657024629719144,0.19783450166601943,-0.7792411585287518,False
"1,1",False,-0.23974086528812275,0.01013954207319482,-0.7828185684309186,False

memristor,initial_uS,post_init_uS,final_uS
M1,59.03580477176717,12.8022948601321,45.40743785684197
M2,76.55728093171453,76.92809910742224,77.17075771798842
M3,6.9706752352490815,6.264263989367952,21.03331945758738
M4,15.055680428742,7.178036800712912,15.580770294982178
M5,3.144446639503454,2.8420314549418912,3.3757669659833414
M6,3.311963594915718,2.8303572581309298,3.098308278773498
M7,5.789398396788389,7.280091425341881,90.60943316984651
M8,26.419508400323025,3.284280655496999,2.1554361549613006
M9,4.384319349633635,4.462434062494881,4.458706775803772
M10,9.814616731335713,5.202717022668166,6.507049592580559
M11,359.1171878864134,351.6141430098889,362.9513713547989
M12,7.903459224519969,9.575971849057213,8.819065357522598
M13,27.192482174984534,16.877627812750003,19.300715689093096
M14,5.948058741655001,5.293855265740466,135.015951825743
M15,5.964100630241897,5.380117490038537,5.232735365527531
M16,14.481066635596983,15.966597199749186,226.46270143589976
