pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.05066356649334209,-0.058085032690536297,-0.0904028672129015,False
"0,1",True,-0.03544333142558396,0.00635251161182418,0.026899962159465142,True
"1,1",False,0.02180101745306636,-0.031154424771588987,-0.07828631118973801,False

memristor,initial_uS,post_init_uS,final_uS
M1,15.343227654687235,14.714657286733612,14.669938790835841
M2,82.40959990631762,83.101574210549,82.00918160056717
M3,7.422647468747356,6.19724989392143,6.940961184824083
M4,11.90911023213557,11.007852822534058,11.94578857965558
M5,4.628246173099318,4.529904761018167,4.550341818764529
M6,4.2376939618628215,3.9558324609295186,4.119124514235802
M7,8.094443501275789,7.625986916044088,7.518717009525151
M8,3.7201624617941196,3.30868579835349,3.513555029168691
M9,7.801858571619252,7.002025502882005,10.83378819217743
M10,6.921528816809791,6.833267862496121,6.797742612575955
M11,438.08606588564453,430.23911111437866,425.590669584855
M12,10.770798454494983,10.48485236048895,10.476338663763626
M13,8.394723020031977,5.82568478484021,6.871803733121213
M14,53.26677568233761,7.716000455836973,7.750658623873283
M15,9.885815416455383,8.875889652938062,13.026429701182478
M16,14.498550139756544,15.627441158555902,15.2589406367166
