pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.05031018442616481,-0.05138023938782814,0.007211977433231424,True
"0,1",True,-0.044529771044600486,0.0032128218891329732,0.030140079184912474,True
"1,1",True,0.01822964271068466,-0.030728719869657292,0.008807153426991683,True

memristor,initial_uS,post_init_uS,final_uS
M1,14.940843791839052,13.684900807868672,14.230498661465674
M2,81.18760100313658,81.80195069735635,81.76938468832576
M3,7.14062225577066,6.322317548406862,6.838972481755554
M4,12.247523691734495,10.001070281784736,11.823490698193305
M5,4.493178716529695,4.323489234349892,4.30749350816289
M6,4.176684475439926,4.14729651530669,4.143609810781152
M7,7.390123712362001,7.0173565763258265,9.288013262337493
M8,3.61462053070231,3.1379045636154417,3.061131204517428
M9,10.853617451681117,7.518563982170983,10.229391794903597
M10,6.8499416339654555,6.668769879435682,6.94031166164703
M11,426.83912845119755,417.1696571309795,425.61197500835465
M12,10.477208963659844,10.65047000209118,9.392773284164107
M13,6.622528738424807,5.0964796291203385,7.027309549261131
M14,7.9200102485030035,7.6267832528580195,7.524509907307662
M15,11.722596988852793,9.725668206321028,9.025426011904306
M16,15.45013042927456,15.857567386781005,15.88590735140724
