iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,29.558745,90.441255
1,PROBE,-0.3,200,28.797176,91.202824
2,SET,-1.4370767863262075,5000,40.358990,79.641010
3,SET,-1.5,5000,76.665069,43.334931
4,SET,-0.5038300463784716,5000,68.505741,51.494259
5,SET,-0.9097220796954879,5000,68.925716,51.074284
6,SET,-1.5,5000,82.296658,37.703342
7,SET,-1.0249378645585794,5000,77.307148,42.692852
8,SET,-1.5,5000,89.117743,30.882257
9,SET,-0.9347285431112387,5000,81.247780,38.752220
10,SET,-1.307607316964681,5000,79.934402,40.065598
11,SET,-1.5,5000,50.774345,69.225655
12,SET,-1.2122824064005602,5000,25.940564,94.059436
13,SET,-1.3448316501203743,5000,27.391293,92.608707
14,SET,-1.5,5000,24.336205,95.663795
15,SET,-1.5,5000,28.975606,91.024394
16,SET,-1.5,5000,30.354739,89.645261
